[ 29/04/2024-00:00:01 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-11:23:56 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-11:25:09 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-11:25:12 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-11:31:47 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-11:51:10 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-11:51:27 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-11:52:02 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-11:52:16 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-11:52:28 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-11:52:34 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-11:52:50 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-11:53:42 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-11:56:40 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-11:56:54 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-11:57:10 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-11:59:12 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-11:59:45 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-12:02:15 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-12:02:24 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-12:22:42 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-12:29:43 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-12:56:12 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-13:04:44 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-13:05:19 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-14:22:16 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-14:40:19 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-15:30:24 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-15:31:02 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 29/04/2024-23:35:01 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
