[ 02/05/2024-00:10:14 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-00:10:46 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-00:13:02 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-00:15:15 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-00:17:06 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-00:18:32 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-00:20:16 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-00:21:20 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-00:21:58 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-00:23:08 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-00:28:03 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-00:30:00 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-00:30:33 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-00:31:10 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-00:33:12 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-00:33:40 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-00:34:01 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-00:35:15 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-00:36:55 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-01:05:28 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-01:06:30 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-01:08:28 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-01:09:23 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-01:21:52 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-01:25:36 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-01:28:05 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-01:31:33 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-01:34:05 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-01:36:18 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-01:36:37 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-01:38:14 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-01:42:50 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-01:44:26 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-01:45:49 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-01:46:57 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-01:47:11 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-01:47:34 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-01:49:50 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-01:50:11 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-01:54:38 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 02/05/2024-01:56:07 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
