[ 30/04/2024-00:10:08 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 30/04/2024-00:10:34 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 30/04/2024-00:10:47 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 30/04/2024-00:10:55 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 30/04/2024-00:11:21 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 30/04/2024-00:11:28 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 30/04/2024-00:12:22 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 30/04/2024-00:12:29 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 30/04/2024-00:12:38 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 30/04/2024-23:49:53 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 30/04/2024-23:54:58 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 30/04/2024-23:55:30 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 30/04/2024-23:56:00 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 30/04/2024-23:56:07 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 30/04/2024-23:56:31 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 30/04/2024-23:58:53 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 30/04/2024-23:59:00 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 30/04/2024-23:59:12 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 30/04/2024-23:59:32 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 30/04/2024-23:59:47 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 30/04/2024-23:59:55 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
