[ 28/04/2024-00:45:44 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-00:47:10 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-00:47:19 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-00:47:23 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-00:48:25 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-00:48:43 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-00:49:22 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-00:49:42 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-00:51:56 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-00:52:01 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-00:52:06 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-00:52:23 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-00:53:01 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-00:53:11 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-00:53:27 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-00:53:41 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-00:54:50 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-00:55:53 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-00:56:56 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-00:57:01 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-00:57:13 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-00:58:20 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-00:58:54 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-00:59:03 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-00:59:26 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-01:00:03 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-01:00:10 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-01:00:27 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-01:00:35 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-10:04:46 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-10:32:01 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-10:34:18 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-11:06:34 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-11:07:09 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-11:07:37 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-11:08:00 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-11:08:14 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-11:08:20 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-11:09:05 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-11:09:34 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-11:09:39 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-11:10:45 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
[ 28/04/2024-12:13:34 ] [ _.Tailwind._ ] Aplicação em modo desenvolvimento, ativando tailwind Auto Rebuild
